COMISIÓN NACIONAL DE HIDROCARBUROS,,,,,,,,
PRODUCCIÓN DE HIDROCARBUROS POR POZO,,,,,,,,
Correspondiente a la cuenca: Sabinas,,,,,,,,
Esta información se encuentra en proceso de revisión por lo que puede sufrir modificaciones.,,,,,,,,
,,,,,,,,
Actualización: 2020-05,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Fecha,Cuenca,Asignación_o_Contrato,Nombre_del_pozo,Petróleo_(Mbd),Gas_asociado_(MMpcd),Gas_no_asociado_(MMpcd),Agua_(Mbd),Condensado_(Mbd)
01-11-1979,SABINAS,,MONCLOVA-5,0.0,0.0,4.199766,0.0,0.0
01-11-1979,SABINAS,,MONCLOVA-3,0.0,0.0,9.576738,0.002726,0.0
01-11-1979,SABINAS,,BUENA SUERTE-52,0.0,0.0,0.694063,0.014047,0.0
01-11-1979,SABINAS,,BUENA SUERTE-162,0.0,0.0,7.948575,0.001258,0.0
01-11-1979,SABINAS,,BUENA SUERTE-2A,0.0,0.0,2.487056,0.062688,0.0
01-11-1979,SABINAS,,AMULETO-1B,0.0,0.0,6.51297,0.001887,0.0
01-11-1979,SABINAS,,BUENA SUERTE-104,0.0,0.0,21.747282,0.009854,0.0
01-11-1979,SABINAS,,BUENA SUERTE-11,0.0,0.0,10.179578,0.001468,0.0
01-12-1979,SABINAS,,MONCLOVA-5,0.0,0.0,5.800562,0.0,0.0
01-12-1979,SABINAS,,MONCLOVA-3,0.0,0.0,12.705994,0.003652,0.0
01-12-1979,SABINAS,,AMULETO-1B,0.0,0.0,6.606262,0.001826,0.0
01-12-1979,SABINAS,,BUENA SUERTE-104,0.0,0.0,16.558241,0.007507,0.0
